Symbol,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Net Income,Beta,Revenue Growth,Debt to Equity,Profit Margin,Operating Income,Predicted 5 Year Return Rate,Return on Assets,Predicted Stock Insight,Analyst Recommendation,Quick Ratio
A,Health Care,65.05,27.45,0.8756979,2.1,75.0,49.23,21984606918.0,1094000000.0,6.493563,4.56,709725972.7563413,1.122,-0.087,0.4679213002566296,0.10386740417918064,1350000000.0,0.0065985798219413755,0.06594127778094781,Low Growth,buy,1.9681846537741734
AAL,Industrials,48.6,9.92,0.7782101,3.91,59.08,39.21,24594852352.0,5761000000.0,0.58022565,6.03,1978721660.418107,1.569,-0.01,-7.81680123029604,0.037484308184021126,4005000000.0,0.0070277003763203495,0.03137939136062208,Low Growth,buy,0.5063910796845255
AAP,Consumer Discretionary,109.63,19.54,0.21832074,6.19,169.55,78.81,8123611867.0,853941000.0,1.1301061,2.51,458680629.9072335,1.197,0.05999999999999999,1.588317072318917,0.040635772481025734,114377000.0,0.0053726987724121685,0.037363021306800866,Undervalued,hold,0.2862640028413132
AAPL,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,809508034020.0,79386000000.0,3.4586093,5.66,48001765472.020615,1.276,0.021,1.7875325845589418,0.12523778773502905,114301000000.0,0.007715135838085438,0.13614316479246197,High Growth,buy,0.9444421504665951
ABBV,Health Care,108.48,19.41,2.4995599,3.29,125.86,60.05,181386347059.0,10310000000.0,6.291571,26.14,5501116167.257651,0.564,-0.054,5.732142857142857,0.10127611781099546,13535000000.0,0.008611891202259078,0.04083642885330561,Dividend Paying,buy,0.7638011680452419
ABC,Health Care,91.55,15.54,1.6132456,1.64,106.27,71.9,20587704101.0,991884000.0,0.17396984,9.73,368802126.98678315,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.008340511458078166,4221927723.4042554,0.0047569714986364685,0.007190555979052467,Low Growth,buy,0.9480929782518385
ABT,Health Care,56.27,22.51,1.9089824,0.26,64.6,42.28,102121042306.0,5744000000.0,3.7404804,3.19,471858379.23511636,0.74,0.015,0.40483900215009194,0.011764401486826307,6478000000.0,0.006814723961516067,0.006444920086801928,Dividend Paying,buy,1.1632107506683043
ACN,Information Technology,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553.0,5643228000.0,2.604117,10.62,3569771139.5144515,1.181,0.03,0.12256465702369443,0.05568045511028364,8809889000.0,0.007554486716198764,0.06966045259198772,Undervalued,buy,1.124393386184759
ADBE,Information Technology,185.16,52.31,0.0,3.39,204.45,114.451,94550214268.0,2538040000.0,13.092818,11.06,1731071648.1341543,1.272,0.116,0.24700326916091536,0.08918912093019497,6650000000.0,0.004077489465733143,0.058130617150816154,Volatile,buy,0.9636786109259484
ADI,Information Technology,82.68,17.67,2.108963,2.11,98.38,74.65,31811578855.0,1663384000.0,8.00391,3.13,811833954.8143443,1.164,-0.227,0.19720101058559564,0.06597305122630909,3983822000.0,0.005372796135082891,0.016637824362304772,Low Growth,buy,0.8565550890651618
ADM,Consumer Staples,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663.0,2927000000.0,0.52478915,1.29,1238226175.059492,0.769,-0.121,0.3976462787999337,0.013181733912380818,4057000000.0,0.0042870539719666225,0.02266526651643741,Undervalued,hold,0.9543457292894653
ADP,Information Technology,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249.0,2767400000.0,4.0483294,12.86,1790301650.4263282,0.785,0.063,0.9514975349804793,0.1040945676690425,3694000000.0,0.005211114308701182,0.03512392635864174,Low Growth,hold,0.9127917446560013
ADS,Information Technology,240.6,13.02,0.9240122,14.13,278.33,209.0,13632608582.0,2143200000.0,1.7282298,8.28,800618284.5538654,1.1849285714285713,0.09067924528301889,0.4748850457386026,0.02019293467659479,10675799947.368422,-0.0002379594559839591,0.012534734460145183,Volatile,buy,1.30790078037718
ADSK,Information Technology,104.81,-77.07,0.0,-2.61,131.1,81.75,24348294504.0,-378100000.0,16.50682,224.13,-606326196.5026238,1.417,0.105,2.3283842794759826,-0.12114409520531944,989000000.0,0.004456063607961744,-0.06424308079069971,Volatile,buy,0.0520780546875
AEE,Utilities,52.59,20.38,3.4404964,2.68,64.89,51.81,12905744906.0,2298000000.0,2.693119,1.79,657680097.8908538,0.449,-0.183,1.4544012688342585,0.0876906797187805,1558000000.0,0.004527027760484014,0.01610776629661655,Low Growth,hold,0.4328849028400598
AEP,Utilities,63.38,17.32,3.8479443,1.24,78.07,62.69,31701916517.0,4450800000.0,2.7489934,1.81,620233141.0710003,0.508,-0.033,1.7272950524226929,0.03267428820906847,3641800000.0,0.004308963617353072,0.006415054621974684,Dividend Paying,hold,0.36280603612003176
AES,Utilities,10.06,9.96,4.961832,-1.72,12.05,10.0,6920851212.0,3001000000.0,0.65951383,2.2,-1183286688.333996,1.087,-0.053,10.803054662379422,-0.09340753775923556,2237000000.0,0.003569673594223342,-0.02641323887439443,Stable,buy,0.6101120131538382
AET,Health Care,178.0,18.11,1.101989,5.75,194.4,119.51,59197016353.0,4139000000.0,0.9923546,3.79,1912263168.7064605,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.04324609784592883,4221927723.4042554,-0.0002379594559839591,0.03728350341579463,Low Growth,hold,0.9480929782518385
AFL,Financials,83.25,12.24,2.4299066,11.01,91.73,68.8,33422948000.0,0.0,1.5429344,1.53,4420260149.90991,0.914,-0.043,0.3349556515806231,0.2346459364003562,2389545891.9333334,0.005734349765961299,0.03488100241398559,Dividend Paying,hold,0.9258407654744877
AGN,Health Care,164.2,10.65,1.643289,38.35,256.8,160.07,56668833898.0,-2888100000.0,4.820115,0.83,13235382338.540195,0.7986122448979591,0.03893478260869565,0.8889550894999193,0.29932001463374414,4221927723.4042554,-0.0002379594559839591,0.25805099983288937,Low Growth,buy,0.9480929782518385
AIG,Financials,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164.0,0.0,1.4686536,0.75,-708882216.9636239,1.028,-0.131,0.49363850852241403,-0.0150024807297967,2389545891.9333334,0.0030422686336648874,-0.0013144341375093617,Dividend Paying,buy,0.9258407654744877
AIV,Real Estate,38.21,15.6,3.876562,1.95,46.855,38.85,6156884142.0,874871000.0,6.187621,4.69,314208952.5490709,1.567,0.08645833333333332,3.621995584180843,1.6803067063240775,11584000.0,-0.0002379594559839591,0.15037698586921158,Low Growth,buy,-0.9214535367545076
AIZ,Financials,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594.0,0.0,0.9821866,1.12,496221956.711132,0.508,0.125,0.4325605572304813,0.04457777468747817,2389545891.9333334,0.004951746850555109,0.014753055034937564,Overvalued,buy,0.9258407654744877
AJG,Financials,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290.0,888000000.0,1.9400215,2.92,472049072.30745333,0.68,0.18,0.7718764210741232,0.04686792683678882,1859100000.0,0.005177126756619098,0.00914543748827788,Overvalued,buy,0.9247020316676987
AKAM,Information Technology,62.49,32.55,0.0,1.79,69.56,44.65,10906904066.0,789517000.0,5.8546524,3.25,312423720.2454793,0.703,0.072,0.9866926392518851,0.08195967392953664,703418000.0,0.004163417278999293,0.03155783359652891,Low Growth,buy,-1.588244531050024
ALB,Materials,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266.0,686030000.0,5.3666205,2.98,634027155.0252899,1.646,-0.101,0.4547771079601113,0.06592635665746994,180691000.0,0.00806750980831388,0.03470194468294234,High Growth,buy,0.8582122207735963
ALGN,Health Care,220.71,56.59,0.0,2.84,287.32,92.61,18788041378.0,380326000.0,13.138819,16.44,241756320.5723347,1.642,0.061,0.03487656896908378,0.062594522526276,656654000.0,0.008059193331346455,0.0397372137162429,Volatile,buy,1.040213179935653
